/Users/ValenXie/assignment-2022fall/assignment3/core
/Users/ValenXie/assignment-2022fall/assignment3/core
Successfully load weights from /Users/ValenXie/assignment-2022fall/assignment3/core/checkpoint-expert.pkl!
Generated 1000/30000 steps from the expert. Average episode reward: 171.310, success rate: 0.058
Generated 2000/30000 steps from the expert. Average episode reward: 168.621, success rate: 0.081
Generated 3000/30000 steps from the expert. Average episode reward: 165.721, success rate: 0.090
Generated 30000 steps from the expert. Average episode reward: 165.721, success rate: 0.090
Start training!
===== gail Training Iteration 0 =====:
  adv_mean: null
  discriminator_loss: 0.45665785702279743
  entropy: 2.7734480044780634
  episode_reward: 12.064613389476511
  frame_per_second: 145
  gail_reward: 0.010577635622869891
  grad_norm: 0.7789660698328262
  iteration: 0
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.012191194280958138
  ratio: 1.0015855579804152
  success_rate: 0.0
  total_episodes: 12
  total_loss: -0.01219119431439023
  total_steps: 20000
  total_time: 137.5857949256897

Trainer is saved at </Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail/checkpoint-iter0.pkl>. Progress is saved at </Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail/progress.csv>.
===== gail Training Iteration 1 =====:
  adv_mean: null
  discriminator_loss: 0.07594424473503843
  entropy: 2.7160176261877402
  episode_reward: 15.180976279058399
  frame_per_second: 141
  gail_reward: 0.014510698555610501
  grad_norm: 1.6491818137657948
  iteration: 1
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.016275916720191255
  ratio: 1.0005861562796128
  success_rate: 0.0
  total_episodes: 37
  total_loss: -0.016275916672431123
  total_steps: 40000
  total_time: 283.34937500953674

===== gail Training Iteration 2 =====:
  adv_mean: null
  discriminator_loss: 0.06867927644067467
  entropy: 2.6233166254483735
  episode_reward: 17.479189535175262
  frame_per_second: 141
  gail_reward: 0.011442960835157487
  grad_norm: 0.32006273445410605
  iteration: 2
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.012644778575915366
  ratio: 1.001659349600474
  success_rate: 0.0
  total_episodes: 72
  total_loss: -0.012644778629645513
  total_steps: 60000
  total_time: 422.70734906196594

===== gail Training Iteration 3 =====:
  adv_mean: null
  discriminator_loss: 0.07842861640816316
  entropy: 2.546371669952686
  episode_reward: 16.859952320072065
  frame_per_second: 138
  gail_reward: 0.027008624281734228
  grad_norm: 0.15132197443491374
  iteration: 3
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.02898082854465032
  ratio: 0.9986965901576556
  success_rate: 0.0
  total_episodes: 137
  total_loss: -0.028980828563754377
  total_steps: 80000
  total_time: 579.4305210113525

===== gail Training Iteration 4 =====:
  adv_mean: null
  discriminator_loss: 0.08505898668693426
  entropy: 2.351361239567781
  episode_reward: 10.981323839693232
  frame_per_second: 129
  gail_reward: 0.013275172723791539
  grad_norm: 0.8783016567810987
  iteration: 4
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.014131695947920282
  ratio: 1.0020377092636548
  success_rate: 0.0
  total_episodes: 275
  total_loss: -0.014131695986128389
  total_steps: 100000
  total_time: 771.3929100036621

===== gail Training Iteration 5 =====:
  adv_mean: null
  discriminator_loss: 0.09318396936958799
  entropy: 2.1299651491336333
  episode_reward: 10.710728443824506
  frame_per_second: 123
  gail_reward: 0.018728181193224513
  grad_norm: 1.5850728889306387
  iteration: 5
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.019885999778619944
  ratio: 1.0015328316352305
  success_rate: 0.0
  total_episodes: 476
  total_loss: -0.019885999758321886
  total_steps: 120000
  total_time: 971.6345438957214

===== gail Training Iteration 6 =====:
  adv_mean: null
  discriminator_loss: 0.10723491126719194
  entropy: 1.9095722413980043
  episode_reward: 10.758676381985442
  frame_per_second: 119
  gail_reward: 0.03757528833662852
  grad_norm: 2.6384843074358426
  iteration: 6
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.03944011084639873
  ratio: 0.9971052101789377
  success_rate: 0.0
  total_episodes: 724
  total_loss: -0.039440110767594516
  total_steps: 140000
  total_time: 1174.4323320388794

===== gail Training Iteration 7 =====:
  adv_mean: null
  discriminator_loss: 0.12326803884158531
  entropy: 1.7224563315892831
  episode_reward: 8.877578514248249
  frame_per_second: 115
  gail_reward: 0.02330400965725764
  grad_norm: 1.4798218285426115
  iteration: 7
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.024242985549454504
  ratio: 1.0023725249064275
  success_rate: 0.0
  total_episodes: 1019
  total_loss: -0.02424298560915467
  total_steps: 160000
  total_time: 1383.1082918643951

===== gail Training Iteration 8 =====:
  adv_mean: null
  discriminator_loss: 0.14225661653356675
  entropy: 1.5546333603369884
  episode_reward: 14.154309765764229
  frame_per_second: 100
  gail_reward: 0.03167992033637487
  grad_norm: 0.5049140682587256
  iteration: 8
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.03267650515175401
  ratio: 0.9980877893857467
  success_rate: 0.0
  total_episodes: 1317
  total_loss: -0.03267650527593035
  total_steps: 180000
  total_time: 1796.0103659629822

===== gail Training Iteration 9 =====:
  adv_mean: null
  discriminator_loss: 0.1928187583310482
  entropy: 1.3821879432751583
  episode_reward: 11.746785821136312
  frame_per_second: 90
  gail_reward: 0.04394006232420603
  grad_norm: 1.035770541888017
  iteration: 9
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.04474296231204883
  ratio: 1.0007433500045384
  success_rate: 0.0
  total_episodes: 1650
  total_loss: -0.04474296231204883
  total_steps: 200000
  total_time: 2217.8801159858704

===== gail Training Iteration 10 =====:
  adv_mean: null
  discriminator_loss: 0.19828637109544034
  entropy: 1.1502765291776413
  episode_reward: 15.18242220316632
  frame_per_second: 86
  gail_reward: 0.03960093948034904
  grad_norm: 0.7528157726312295
  iteration: 10
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.04013530887567844
  ratio: 0.9996180649751272
  success_rate: 0.0
  total_episodes: 1986
  total_loss: -0.04013530895687067
  total_steps: 220000
  total_time: 2535.4664080142975

Trainer is saved at </Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail/checkpoint-iter10.pkl>. Progress is saved at </Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail/progress.csv>.
===== gail Training Iteration 11 =====:
  adv_mean: null
  discriminator_loss: 0.1573214616626501
  entropy: 1.0255037712745176
  episode_reward: 11.26186856409776
  frame_per_second: 83
  gail_reward: 0.04197145322194466
  grad_norm: 0.41526407370200524
  iteration: 11
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.043010087091571246
  ratio: 0.999978727255112
  success_rate: 0.0
  total_episodes: 2383
  total_loss: -0.04301008717276347
  total_steps: 240000
  total_time: 2865.515498161316

===== gail Training Iteration 12 =====:
  adv_mean: null
  discriminator_loss: 0.2156944955102144
  entropy: 0.9040389631039057
  episode_reward: 17.266511234208043
  frame_per_second: 81
  gail_reward: 0.05540661112620281
  grad_norm: 0.48517504032605735
  iteration: 12
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.056085685425652905
  ratio: 1.000261834722299
  success_rate: 0.0
  total_episodes: 2734
  total_loss: -0.05608568511521205
  total_steps: 260000
  total_time: 3185.3963339328766

===== gail Training Iteration 13 =====:
  adv_mean: null
  discriminator_loss: 0.23759060167731383
  entropy: 0.7559037284209178
  episode_reward: 19.778798672389
  frame_per_second: 80
  gail_reward: 0.07612151767198856
  grad_norm: 2.2602825876994013
  iteration: 13
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.07640985488796082
  ratio: 1.001324934913562
  success_rate: 0.0
  total_episodes: 3078
  total_loss: -0.07640985507900135
  total_steps: 280000
  total_time: 3486.5273690223694

===== gail Training Iteration 14 =====:
  adv_mean: null
  discriminator_loss: 0.25349419244971033
  entropy: 0.660625970745698
  episode_reward: 26.497012849983175
  frame_per_second: 78
  gail_reward: 0.065552590156977
  grad_norm: 1.6843796636813726
  iteration: 14
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.06597113095414944
  ratio: 1.0003867474886088
  success_rate: 0.0
  total_episodes: 3393
  total_loss: -0.06597113092549337
  total_steps: 300000
  total_time: 3803.367039203644

===== gail Training Iteration 15 =====:
  adv_mean: null
  discriminator_loss: 0.22127145865979866
  entropy: 0.5883980848468267
  episode_reward: 19.34947100921391
  frame_per_second: 79
  gail_reward: 0.05537517284258054
  grad_norm: 0.7129600939842371
  iteration: 15
  log_dir: /Users/ValenXie/assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail
  policy_loss: -0.05571468476779186
  ratio: 1.0018942978901741
